Jack Reacher,2012,7,58.68
The Do-Over,2016,5.7,0.54
True Crimes,2016,7.3,
American Pastoral,2016,6.1,
The Ghost Writer,2010,7.2,15.52
Limitless,2011,7.4,79.24
Spectral,2016,6.3,
P.S. I Love You,2007,7.1,53.68
Zipper,2015,5.7,
Midnight Special,2016,6.7,3.71
Don't Think Twice,2016,6.8,4.42
Alice in Wonderland,2010,6.5,334.19
Chuck,2016,6.8,0.11
"I, Daniel Blake",2016,7.9,
The Break-Up,2006,5.8,118.68
Loving,2016,7.1,7.7
Fantastic Four,2015,4.3,56.11
The Survivalist,2015,6.3,
Colonia,2015,7.1,
The Boy Next Door,2015,4.6,35.39
The Gift,2015,7.1,43.77
Dracula Untold,2014,6.3,55.94
In the Heart of the Sea,2015,6.9,24.99
Idiocracy,2006,6.6,0.44
The Expendables,2010,6.5,102.98
Evil Dead,2013,6.5,54.24
Sinister,2012,6.8,48.06
Wreck-It Ralph,2012,7.8,189.41
Snow White and the Huntsman,2012,6.1,155.11
Pan,2015,5.8,34.96
Transformers: Dark of the Moon,2011,6.3,352.36
Juno,2007,7.5,143.49
A Hologram for the King,2016,6.1,4.2
Money Monster,2016,6.5,41.01
The Other Woman,2014,6,83.91
Enchanted,2007,7.1,127.71
The Intern,2015,7.1,75.27
Little Miss Sunshine,2006,7.8,59.89
Bleed for This,2016,6.8,4.85
Clash of the Titans,2010,5.8,163.19
The Finest Hours,2016,6.8,27.55
Tron,2010,6.8,172.05
The Hunger Games: Catching Fire,2013,7.6,424.65
All Good Things,2010,6.3,0.58
Kickboxer: Vengeance,2016,4.9,131.56
The Last Airbender,2010,4.2,
Sex Tape,2014,5.1,38.54
What to Expect When You're Expecting,2012,5.7,41.1
Moneyball,2011,7.6,75.61
Ghost Rider,2007,5.2,115.8
Unbroken,2014,7.2,115.6
Immortals,2011,6,83.5
Sunshine,2007,7.3,3.68
Brave,2012,7.2,237.28
Män som hatar kvinnor,2009,7.8,10.1
Adoration,2013,6.2,0.32
The Drop,2014,7.1,10.72
She's the Man,2006,6.4,2.34
Daddy's Home,2015,6.1,150.32
Let Me In,2010,7.2,12.13
Never Back Down,2008,6.6,24.85
Grimsby,2016,6.2,6.86
Moon,2009,7.9,5.01
Megamind,2010,7.3,148.34
Gangster Squad,2013,6.7,46
Blood Father,2016,6.4,93.95
He's Just Not That Into You,2009,6.4,
Kung Fu Panda 3,2016,7.2,143.52
The Rise of the Krays,2015,5.1,6.53
Handsome Devil,2016,7.4,
Winter's Bone,2010,7.2,
Horrible Bosses,2011,6.9,117.53
Mommy,2014,8.1,3.49
Hellboy II: The Golden Army,2008,7,75.75
Beautiful Creatures,2013,6.2,19.45
Toni Erdmann,2016,7.6,1.48
The Lovely Bones,2009,6.7,43.98
The Assassination of Jesse James by the Coward Robert Ford,2007,7.5,3.9
Don Jon,2013,6.6,24.48
Bastille Day,2016,6.3,0.04
2307: Winter's Dream,2016,4,20.76
Free State of Jones,2016,6.9,
Mr. Right,2015,6.3,0.03
The Secret Life of Walter Mitty,2013,7.3,58.23
Dope,2015,7.3,17.47
Underworld Awakening,2012,6.4,62.32
Antichrist,2009,6.6,0.4
Friday the 13th,2009,5.6,65
Taken 3,2014,6,89.25
Total Recall,2012,6.3,58.88
X-Men: The Last Stand,2006,6.7,234.36
The Escort,2016,6,
The Whole Truth,2016,6.1,
Night at the Museum: Secret of the Tomb,2014,6.2,113.73
Love & Other Drugs,2010,6.7,32.36
The Interview,2014,6.6,6.11
The Host,2006,7,2.2
